@RELATION walk
 @ATTRIBUTE	stepValleyCount REAL
 @ATTRIBUTE	averageX REAL
 @ATTRIBUTE	stddevX REAL
 @ATTRIBUTE	averageZ REAL
 @ATTRIBUTE	stddevZ REAL
 @ATTRIBUTE	mountValleyY REAL
 @ATTRIBUTE	averageLpfDeltaY REAL
 @ATTRIBUTE	slopeZ REAL
 @ATTRIBUTE	averageLpfAbsX REAL
 @ATTRIBUTE	stddevRadianXY REAL
 @ATTRIBUTE	stddevRadianXZ REAL
 @ATTRIBUTE	stddevRadianLpfXY REAL
 @ATTRIBUTE	stddevRadianLpfXZ REAL
 @ATTRIBUTE	averageXStepAve REAL
 @ATTRIBUTE	averageZStepAve REAL
 @ATTRIBUTE	stddevXStepAve REAL
 @ATTRIBUTE	stddevZStepAve REAL
 @ATTRIBUTE	averageDeltaYStepAve REAL
 @ATTRIBUTE	mountValleyYStepAve REAL
 @ATTRIBUTE	averageLpfDeltaYStepAve REAL
 @ATTRIBUTE	mountValleyLpfYStepAve REAL
 @ATTRIBUTE	averageLpfAbsXStepAve REAL
 @ATTRIBUTE	slopeZStepAve REAL
 @ATTRIBUTE	averageRadianXYStepAve REAL
 @ATTRIBUTE	averageRadianXZStepAve REAL
 @ATTRIBUTE	stddevRadianXYStepAve REAL
 @ATTRIBUTE	stddevRadianXZStepAve REAL
 @ATTRIBUTE	averageRadianLpfXYStepAve REAL
 @ATTRIBUTE	averageRadianLpfXZStepAve REAL
 @ATTRIBUTE	stddevRadianLpfXYStepAve REAL
 @ATTRIBUTE	stddevRadianLpfXZStepAve REAL
 @ATTRIBUTE	averageXStepDev REAL
 @ATTRIBUTE	averageZStepDev REAL
 @ATTRIBUTE	stddevXStepDev REAL
 @ATTRIBUTE	stddevZStepDev REAL
 @ATTRIBUTE	averageDeltaYStepDev REAL
 @ATTRIBUTE	mountValleyYStepDev REAL
 @ATTRIBUTE	averageLpfDeltaYStepDev REAL
 @ATTRIBUTE	mountValleyLpfYStepDev REAL
 @ATTRIBUTE	averageLpfAbsXStepDev REAL
 @ATTRIBUTE	slopeZStepDev REAL
 @ATTRIBUTE	averageRadianXYStepDev REAL
 @ATTRIBUTE	averageRadianXZStepDev REAL
 @ATTRIBUTE	stddevRadianXYStepDev REAL
 @ATTRIBUTE	stddevRadianXZStepDev REAL
 @ATTRIBUTE	averageRadianLpfXYStepDev REAL
 @ATTRIBUTE	averageRadianLpfXZStepDev REAL
 @ATTRIBUTE	stddevRadianLpfXYStepDev REAL
 @ATTRIBUTE	stddevRadianLpfXZStepDev REAL
@ATTRIBUTE	class{gani,suri,sayu,neko,uchi,noke,futs}
@DATA
10,-0.008373,0.153831,-0.181813,0.139971,0.056191,0.000107,-0.000103,0.118505,0.151105,0.772868,0.126998,0.636857,-0.004336,-0.192572,0.15937,0.131334,-0.000277,0.09186,-0.00002,0.046591,0.11578,0.002949,1.573843,1.619,0.155593,0.76631,1.589455,1.635081,0.077964,0.399199,0.109051,0.838862,0.024345,0.01597,0.000409,0.013643,0.000409,0.041297,0.015452,0.000711,0.111546,0.563098,0.022309,0.066469,0.109413,0.557956,0.012521,0.032907,gani
10,-0.012736,0.154889,-0.192913,0.161165,0.057206,0.000101,-0.000098,0.105752,0.149839,0.722564,0.114047,0.617119,-0.012011,-0.196067,0.164011,0.16994,0.000607,0.100177,0.000016,0.047199,0.104292,0.003215,1.582637,1.632271,0.158154,0.7611,1.600892,1.652074,0.070774,0.404636,0.096939,0.898068,0.022705,0.029887,0.000486,0.025175,0.000486,0.056097,0.01545,0.000552,0.100916,0.534697,0.018822,0.06509,0.09967,0.528585,0.006903,0.076832,gani
10,-0.009534,0.143531,-0.191856,0.142054,0.053364,0.000175,-0.000033,0.093217,0.138321,0.728042,0.101305,0.627745,-0.001071,-0.201973,0.154985,0.149644,0.000191,0.093712,0.000044,0.040985,0.093578,0.003886,1.572048,1.600096,0.147619,0.74024,1.590351,1.617748,0.066581,0.409791,0.088873,1.154489,0.015626,0.009184,0.000437,0.017997,0.000437,0.047431,0.007411,0.000354,0.090618,0.517841,0.013627,0.08248,0.0865,0.505722,0.004198,0.072842,gani
10,-0.003298,0.136672,-0.192743,0.144623,0.057113,-0.000059,-0.000063,0.091735,0.134097,0.699144,0.104077,0.633999,-0.000475,-0.198762,0.145786,0.155134,-0.000317,0.093176,0.000082,0.043916,0.092059,0.004007,1.570142,1.602877,0.141887,0.74543,1.58846,1.619968,0.069125,0.448553,0.082099,1.140833,0.027341,0.013261,0.000558,0.016497,0.000558,0.045411,0.011568,0.000434,0.085817,0.492862,0.02584,0.049443,0.085671,0.489949,0.005619,0.025949,gani
11,-0.001261,0.113563,-0.201526,0.15184,0.03963,0.00018,-0.000135,0.053625,0.107483,0.607611,0.060257,0.398136,0.006544,-0.206412,0.124008,0.148105,0.000723,0.086973,0.000066,0.025113,0.051858,0.005393,1.563591,1.534755,0.114818,0.623343,1.587812,1.561376,0.064499,0.372059,0.022918,4.846539,0.020681,0.017551,0.000326,0.017054,0.000326,0.04353,0.008844,0.000589,0.02733,0.231946,0.019189,0.091962,0.027837,0.205543,0.005606,0.0676,suri
11,-0.001797,0.114848,-0.203251,0.138958,0.043478,0.000114,-0.000069,0.055757,0.113324,0.600377,0.065739,0.422498,0.003273,-0.209098,0.121728,0.1432,0.000599,0.093222,0.000029,0.030149,0.054409,0.004696,1.565912,1.563045,0.119894,0.616836,1.588856,1.584648,0.068027,0.372392,0.036387,4.876274,0.013478,0.015115,0.000693,0.016468,0.000693,0.042776,0.008058,0.000809,0.038654,0.249654,0.013816,0.074629,0.035646,0.219201,0.009555,0.088055,suri
11,0.001146,0.116439,-0.214998,0.122968,0.048662,0.000131,-0.000086,0.057695,0.111881,0.522098,0.063898,0.356507,0.002779,-0.212106,0.125918,0.13094,0.000298,0.09472,0.000058,0.033921,0.059828,0.004207,1.565176,1.551654,0.122017,0.579969,1.589105,1.57759,0.06179,0.31947,0.044574,4.719376,0.023411,0.020147,0.000724,0.020565,0.000724,0.047801,0.010611,0.000871,0.048797,0.276144,0.022105,0.060561,0.047417,0.252725,0.005822,0.062497,suri
11,-0.002523,0.104064,-0.193037,0.130795,0.059524,0.000105,-0.00001,0.05147,0.097849,0.536837,0.05971,0.346669,0.00232,-0.203438,0.115408,0.134681,0.000352,0.082537,0.000086,0.046244,0.056273,0.004194,1.568576,1.574737,0.106682,0.557123,1.589759,1.59516,0.062344,0.299622,0.037246,5.562796,0.019419,0.010003,0.000415,0.019582,0.000415,0.046645,0.010244,0.000302,0.041439,0.237415,0.018933,0.059239,0.040891,0.221212,0.006434,0.072717,suri
11,-0.022376,0.138691,-0.258797,0.170598,0.058081,0.000174,-0.000057,0.084691,0.132592,0.485963,0.098989,0.342486,-0.023818,-0.276484,0.157805,0.17199,0.001061,0.091766,0.000192,0.043299,0.089405,0.00391,1.591188,1.659263,0.149688,0.518007,1.61388,1.684155,0.090846,0.287358,0.065575,2983.903727,0.029081,0.036268,0.000965,0.026161,0.000965,0.053915,0.032349,0.001618,0.0665,0.23234,0.029385,0.092749,0.064291,0.232209,0.033914,0.135696,sayu
10,-0.01353,0.13503,-0.284831,0.164618,0.063512,0.00015,-0.000061,0.068466,0.127326,0.43968,0.08268,0.327781,-0.002036,-0.282689,0.146407,0.176471,0.001131,0.09834,0.000058,0.050774,0.076058,0.00383,1.572737,1.596123,0.137415,0.494252,1.594432,1.616222,0.088737,0.32852,0.044903,27.406438,0.027571,0.026181,0.000893,0.022027,0.000893,0.052472,0.020948,0.000502,0.046061,0.189747,0.025764,0.056658,0.044632,0.188703,0.022186,0.079684,sayu
